 Data Alignment: None,,,,,,,,,,,,,,,
 Data Alignment Step: 0,,,,,,,,,,,,,,,
C:\Users\Labuser\Desktop\Laras\20230125_AR2G_1OLD\Experiment_1, 230125_001.frd, 230125_002.frd, 230125_003.frd, 230125_004.frd, 230125_005.frd, 230125_006.frd, 230125_007.frd, 230125_008.frd, 230125_009.frd, 230125_010.frd, 230125_011.frd, 230125_012.frd, 230125_013.frd, 230125_014.frd, 
X Values, A1, B1, C1, D1, E1, F1, G1, A2, B2, C2, D2, E2, F2, G2, 
1696.63,-0.13766858,-0.06111204,-0.09964265,-0.10443593,-0.10394759,-0.07844514,-0.08368573,-0.18284242,-0.18614313,-0.20236349,-0.19132824,-0.20358106,-0.19291726,-0.16548458, 
1696.84,-0.14141962,-0.06062666,-0.10285778,-0.10482731,-0.10359512,-0.0779359,-0.08140798,-0.17867841,-0.17904857,-0.20493168,-0.19109824,-0.20311145,-0.19570906,-0.16353773, 
1697.02,-0.14047091,-0.06342147,-0.10132226,-0.10790721,-0.10380559,-0.07749074,-0.0850663,-0.17800665,-0.18300731,-0.20461866,-0.18925895,-0.20183302,-0.19603601,-0.16378279, 
1697.23,-0.14268734,-0.05686904,-0.10051317,-0.10844953,-0.10581941,-0.08117474,-0.08254313,-0.17762348,-0.17991048,-0.20385963,-0.19266984,-0.20281637,-0.19672525,-0.16748914, 
1697.45,-0.13924724,-0.05998904,-0.09848872,-0.10294349,-0.1030189,-0.07901547,-0.08465286,-0.17774868,-0.18032569,-0.20103122,-0.1896904,-0.20300919,-0.19679368,-0.17061239, 
1697.63,-0.14040166,-0.06192881,-0.10054059,-0.10445902,-0.10425857,-0.08153217,-0.07949993,-0.18043573,-0.17769916,-0.20438664,-0.19522834,-0.20294686,-0.19998097,-0.16414857, 
1697.84,-0.1427062,-0.06090437,-0.10253632,-0.10663026,-0.10370527,-0.07906346,-0.08497228,-0.18156126,-0.18241766,-0.20423086,-0.18983817,-0.197055,-0.19570109,-0.16727942, 
1698.04,-0.13947982,-0.06093713,-0.09893598,-0.10706971,-0.102051,-0.07898046,-0.08480296,-0.18130901,-0.18128207,-0.20519432,-0.18581255,-0.19969676,-0.19479766,-0.16536523, 
1698.23,-0.13896829,-0.05968676,-0.1035324,-0.10440589,-0.10111219,-0.0762471,-0.08123478,-0.17927639,-0.18316433,-0.20211531,-0.19315572,-0.19871384,-0.19753835,-0.16125785, 
1698.44,-0.13984631,-0.0634857,-0.10332646,-0.10880763,-0.10530792,-0.08623179,-0.08352276,-0.17435031,-0.17923619,-0.20436078,-0.19475046,-0.20726375,-0.19793949,-0.16749728, 
1698.63,-0.14078915,-0.05976972,-0.10071498,-0.10948084,-0.10321911,-0.07577496,-0.08440772,-0.17909582,-0.18317586,-0.20358424,-0.19438173,-0.20018949,-0.19831938,-0.16725732, 
1698.83,-0.1395506,-0.05659122,-0.09989922,-0.10379868,-0.10477782,-0.07781623,-0.08344004,-0.17931697,-0.1835124,-0.20335062,-0.19330519,-0.19986166,-0.1995521,-0.16595648, 
1699.04,-0.1416712,-0.0584315,-0.10411593,-0.10594673,-0.10016236,-0.08252588,-0.08388681,-0.17873941,-0.18248163,-0.20117018,-0.19698393,-0.20332603,-0.19646482,-0.16240114, 
1699.24,-0.14153473,-0.06185794,-0.09997125,-0.1050299,-0.10760728,-0.07787655,-0.08409527,-0.17778073,-0.17721781,-0.20324914,-0.19111137,-0.2011352,-0.19400686,-0.1635776, 
1699.44,-0.13674325,-0.05944484,-0.10195123,-0.10719095,-0.10555246,-0.08019476,-0.08035652,-0.17944299,-0.17839646,-0.20406792,-0.19432518,-0.20224056,-0.19541606,-0.16103362, 
1699.65,-0.14132784,-0.0610222,-0.10272702,-0.105884,-0.10357277,-0.07717694,-0.0816772,-0.17995566,-0.18021542,-0.20120166,-0.19334693,-0.19766206,-0.19816901,-0.16604571, 
1699.83,-0.13911505,-0.05930107,-0.10257122,-0.10508196,-0.10041972,-0.08262637,-0.08240215,-0.17884926,-0.18348469,-0.20279044,-0.19570577,-0.20008613,-0.19756487,-0.16501077, 
1700.04,-0.13924475,-0.0580934,-0.10167155,-0.10666914,-0.1028827,-0.08113161,-0.08393461,-0.1814702,-0.18010582,-0.2023491,-0.19309615,-0.20123717,-0.19575565,-0.16268617, 
1700.24,-0.1417055,-0.06000588,-0.09869263,-0.10797475,-0.10464981,-0.08134905,-0.08111489,-0.18006366,-0.18035059,-0.20534872,-0.19074371,-0.20051508,-0.19834727,-0.16148068, 
